,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.0231935977935791,0.0009977340698242188,-0.21536184518036608,-0.19726954754627682,0.5,2,9,110,0.1,0.30000000000000004,0.3,"{'subsample': 0.3, 'reg_lambda': 0.30000000000000004, 'reg_alpha': 0.1, 'n_estimators': 110, 'min_child_weight': 9, 'max_depth': 2, 'colsample_bytree': 0.5}",10,-0.28456488750551057,-0.19692812180597877,-0.20708538792703463,-0.1965523227753881,-0.18113120632097784,-0.20318991239917905,-0.21739534001830405,-0.18958861281147651,-0.18555405749156412,-0.20008876793936156,0.0007508950964607364,3.6731939644948497e-06,0.03730588835571809,0.004530484850976576
1,0.0279818058013916,0.0005998611450195312,-0.10965184342960692,-0.05498660674902196,0.5,4,1,40,0.9000000000000001,0.30000000000000004,0.7000000000000002,"{'subsample': 0.7000000000000002, 'reg_lambda': 0.30000000000000004, 'reg_alpha': 0.9000000000000001, 'n_estimators': 40, 'min_child_weight': 1, 'max_depth': 4, 'colsample_bytree': 0.5}",3,-0.15756419428988644,-0.05282687843625438,-0.13470750153064728,-0.05298983411338295,-0.06364603867276317,-0.0604276023131158,-0.10324949935177523,-0.0536825566801749,-0.08780051411780636,-0.05500616220218178,0.0006323065761618898,0.0004897845816770382,0.033378696136377256,0.0028269025122810237
2,0.02259173393249512,0.0007996082305908204,-0.13022916379052432,-0.07858111806348742,0.5,18,2,30,0.30000000000000004,0.30000000000000004,0.8000000000000003,"{'subsample': 0.8000000000000003, 'reg_lambda': 0.30000000000000004, 'reg_alpha': 0.30000000000000004, 'n_estimators': 30, 'min_child_weight': 2, 'max_depth': 18, 'colsample_bytree': 0.5}",6,-0.18474643641839858,-0.07740073370037494,-0.1534044874103173,-0.07779076720468929,-0.08182673947473543,-0.08399924808263518,-0.12478266913542706,-0.07645980966391794,-0.1050103963146695,-0.07725503166581978,0.0004893673518645634,0.00039980421126566574,0.03614838592525423,0.0027434485265532735
3,0.025986719131469726,0.0006000041961669922,-0.11509494615640158,-0.07388726100190086,0.5,18,4,50,0.7000000000000001,0.7000000000000001,0.7000000000000002,"{'subsample': 0.7000000000000002, 'reg_lambda': 0.7000000000000001, 'reg_alpha': 0.7000000000000001, 'n_estimators': 50, 'min_child_weight': 4, 'max_depth': 18, 'colsample_bytree': 0.5}",5,-0.16250048601271017,-0.06951145877003144,-0.13576673330820124,-0.07181057502774087,-0.0687822969218271,-0.08104379960691165,-0.11807212566099731,-0.07000386933571447,-0.08914818043565065,-0.07706660226910587,0.0010935388419707683,0.0004899033549596248,0.03319607744910093,0.004469121979518453
4,0.026787233352661134,0.0009992599487304687,-0.1129726893751373,-0.06279197351106443,0.5,12,1,40,0.30000000000000004,0.7000000000000001,0.5,"{'subsample': 0.5, 'reg_lambda': 0.7000000000000001, 'reg_alpha': 0.30000000000000004, 'n_estimators': 40, 'min_child_weight': 1, 'max_depth': 12, 'colsample_bytree': 0.5}",4,-0.15748445747987083,-0.06086151614900071,-0.13947867081379112,-0.059496454722227504,-0.06802323420194134,-0.06760227526619769,-0.11101778948564181,-0.06321105888325787,-0.08760234357508938,-0.06278856253463841,0.0007487877366663415,5.764407075257084e-06,0.03274550287095206,0.002753243791374387
5,0.01799001693725586,0.0009993553161621095,-0.15971658648251963,-0.1403551970555125,0.5,10,6,70,0.30000000000000004,0.5000000000000001,0.3,"{'subsample': 0.3, 'reg_lambda': 0.5000000000000001, 'reg_alpha': 0.30000000000000004, 'n_estimators': 70, 'min_child_weight': 6, 'max_depth': 10, 'colsample_bytree': 0.5}",9,-0.21749500091309132,-0.1278242485162839,-0.16125887151321638,-0.13733867156249574,-0.12111564636626075,-0.15317417794773192,-0.1646519231618242,-0.1346733539463266,-0.13301156657393529,-0.14876553330472425,0.0006321361811431104,3.2340669551493016e-07,0.03343004623930125,0.009310934060556011
6,0.02618684768676758,0.000799560546875,-0.14601694768775902,-0.12599489395204913,0.5,12,7,100,0.30000000000000004,0.1,0.4,"{'subsample': 0.4, 'reg_lambda': 0.1, 'reg_alpha': 0.30000000000000004, 'n_estimators': 100, 'min_child_weight': 7, 'max_depth': 12, 'colsample_bytree': 0.5}",8,-0.20232226672055928,-0.11730043148613711,-0.1465593015532131,-0.12604393208982004,-0.10178831368025425,-0.13368416942345598,-0.1587802942644442,-0.12182282352934412,-0.11962840871770034,-0.13112311323148837,0.0007502319909984353,0.00039978035874948246,0.034640018062187826,0.005973706457055121
7,0.0281801700592041,0.001004171371459961,-0.13915287723898992,-0.11766429005199872,0.5,8,5,120,0.30000000000000004,0.5000000000000001,0.3,"{'subsample': 0.3, 'reg_lambda': 0.5000000000000001, 'reg_alpha': 0.30000000000000004, 'n_estimators': 120, 'min_child_weight': 5, 'max_depth': 8, 'colsample_bytree': 0.5}",7,-0.20054971357078655,-0.1096095150738692,-0.13588511095098826,-0.11550378079407146,-0.09605570193544953,-0.12745895780410552,-0.1529384806785172,-0.11214441092268221,-0.10930654596108778,-0.12360478566526517,0.00039363568506633166,6.456523031459128e-06,0.03670877127273444,0.006800606889235014
8,0.030976581573486327,0.0008017539978027344,-0.10507239607900958,-0.0518999235914096,0.5,10,3,50,0.7000000000000001,0.1,0.9000000000000001,"{'subsample': 0.9000000000000001, 'reg_lambda': 0.1, 'reg_alpha': 0.7000000000000001, 'n_estimators': 50, 'min_child_weight': 3, 'max_depth': 10, 'colsample_bytree': 0.5}",2,-0.155653151375768,-0.05133059208634174,-0.13309312245363128,-0.04917274771918777,-0.05263858223004283,-0.058086714618471695,-0.10718213533158455,-0.04924120386376193,-0.07540381233727114,-0.05166835966928486,0.0008946079337782497,0.0004008935179879581,0.03738252410240497,0.0032606877266441966
9,0.05137062072753906,0.0008026123046875,-0.09830503983442346,-0.051720265350479674,0.5,14,4,140,0.7000000000000001,0.7000000000000001,0.7000000000000002,"{'subsample': 0.7000000000000002, 'reg_lambda': 0.7000000000000001, 'reg_alpha': 0.7000000000000001, 'n_estimators': 140, 'min_child_weight': 4, 'max_depth': 14, 'colsample_bytree': 0.5}",1,-0.1380142035064004,-0.05138272851744527,-0.1198051246703076,-0.05023264136300771,-0.04402968767758426,-0.056613514490508304,-0.1121932264330871,-0.047240735489283814,-0.07639960735362535,-0.05313170689215328,0.00101590088851215,0.0004013515614883274,0.03362641400229102,0.0031089933544816463
